expt_number,ionic_strength,temperature,nominal_pH,P_phosphate,F_TFP_1,F_TFP_2,H_acetate,H_cacodylate,H_formate,H_imidazole_1,H_imidazole_2,H_TFP_3,H_maleate,H_HEPES_1,H_Tris,H_piperazine,H_HEPES_2,H_HEPES_3,H_HEPES_4
182,0,283,3.75,0.089643455,-131.3986504,-120.6707015,2.063486827,1.983294739,8.330452403,8.675800704,7.462472908,6.847052403,6.325957457,3.918044076,3.722018973,3.56993053,3.299551077,3.131792916,3.221816984
185,0,298,3.75,0.058908892,-131.3435002,-120.6290625,2.06686657,1.98237299,8.336290141,8.671499213,7.469232394,6.861493124,6.330873447,3.915893331,3.72847121,missing,missing,missing,missing
188,0,310,3.75,0.03669065,-131.3070929,-120.6053945,2.069017316,1.980529494,8.338455725,8.667755725,7.473455725,6.870255725,6.332355725,3.912955725,3.732772701,missing,missing,missing,missing
191,0,283,3.5,0.086284137,-131.3981856,-120.6679205,2.072089809,1.988517978,8.285593994,8.676107954,7.462780158,6.847052403,6.3293372,3.928183306,3.722018973,3.572081276,3.336421003,3.263787622,3.263910149
194,0,298,3.5,0.053722417,-131.3424209,-120.6264391,2.07669855,1.988517979,8.293582477,8.672113712,7.469846893,6.861800373,6.33425319,3.92603256,3.728778459,missing,missing,missing,missing
197,0,310,3.5,0.02905435,-131.3068566,-120.6028419,2.077620298,1.986059983,8.296347722,8.66811947,7.473533886,6.870096106,6.335174938,3.922345568,3.732465452,missing,missing,missing,missing
200,0,283,5.5,0.148546343,-131.4213478,-120.7829593,1.938743579,1.930140596,8.434302693,8.66811947,7.459707664,6.845516156,6.263893082,3.906675849,3.722018973,3.467309238,3.256228915,2.988614706,3.170506338
203,0,298,5.5,0.119946185,-131.3707512,-120.7632456,1.940279826,1.936900083,8.436453438,8.657058492,7.463701906,6.859035129,6.276797556,3.904217854,3.727856711,missing,missing,missing,missing
206,0,310,5.5,0.096507116,-131.3378182,-120.7538609,1.941201574,1.941201574,8.437989685,8.645690265,7.464930903,6.867638111,6.286015037,3.90145261,3.731850953,missing,missing,missing,missing
209,0,283,8.75,2.431182564,-133.3748412,-130.0456641,1.908940389,1.603534507,8.438296935,7.813044449,7.137710315,6.686360978,5.988290389,3.747213422,3.61448169,3.102296976,2.637428666,2.822392792,3.120731939
212,0,298,8.75,2.480412206,-133.3640851,-130.1684766,1.905560646,1.603227258,8.441062179,7.810893704,7.143548053,6.698650953,5.985525145,3.747827921,3.596968476,missing,missing,missing,missing
215,0,310,8.75,2.511607213,-133.363272,-130.2630144,1.902488152,1.60230551,8.443533977,7.807133977,7.146313298,6.706833977,5.982452651,3.747213422,3.583449503,missing,missing,missing,missing
218,0,283,10,2.505648961,-133.4572954,-130.4303847,1.90894039,1.601998261,8.437989685,7.758661309,7.116817357,6.679601491,5.987368641,3.729700207,3.510016901,2.944985294,2.570755551,2.804572328,3.115815949
221,0,298,10,2.580823231,-133.4805893,-130.7049882,1.905560647,1.601076512,8.441062179,7.764806297,7.125727589,6.689433472,5.983988898,3.727549462,3.511860398,missing,missing,missing,missing
224,0,310,10,2.64162535,-133.5095797,-130.9324013,1.902180903,1.598618517,8.443520174,7.767878791,7.131258078,6.69496396,5.979994656,3.725091467,3.513396645,missing,missing,missing,missing
227,0,283,9.5,2.475738685,-133.4441701,-130.3666887,1.90894039,1.60230551,8.437989685,7.767878791,7.12050435,6.680830489,5.987675891,3.732772701,3.538283844,3.067885046,2.582431027,2.807952071,3.116737697
230,0,298,9.5,2.549081715,-133.4574271,-130.5984422,1.905560647,1.601383762,8.441062179,7.774023778,7.129414582,6.691276968,5.984296148,3.731850953,3.535825849,missing,missing,missing,missing
233,0,310,9.5,2.603472446,-133.4755297,-130.7744337,1.902180903,1.599540265,8.443212925,7.777096272,7.134945071,6.697729205,5.980609155,3.730621955,3.534289602,missing,missing,missing,missing
236,0,283,9.25,2.476959513,-133.4457143,-130.3747955,1.90894039,1.60230551,8.437989685,7.766649793,7.1201971,6.68052324,5.987675891,3.732465452,3.535211351,3.064198053,2.58089478,2.807644822,3.116737697
239,0,298,9.25,2.552436948,-133.4627528,-130.6192094,1.905560646,1.601383761,8.441062179,7.772180282,7.128800083,6.690969718,5.984296148,3.730929205,3.531217109,missing,missing,missing,missing
242,0,310,9.25,2.609576583,-133.4836365,-130.809949,1.902180903,1.599233016,8.443212925,7.774945526,7.134023322,6.697114706,5.980301906,3.729392958,3.529680862,missing,missing,missing,missing
245,0.15,283,10,2.553478616,-133.480158,-130.417732,1.909247639,1.603534507,8.438604184,7.761733803,7.118968103,6.682366736,5.991055634,3.730007457,3.512782146,missing,missing,missing,missing
248,0.15,298,10,2.625920322,-133.5055476,-130.6890267,1.905867896,1.60199826,8.441369428,7.767878791,7.127571085,6.692198716,5.987675891,3.727856711,3.514318393,missing,missing,missing,missing
251,0.15,310,10,2.686120196,-133.5352392,-130.9136666,1.902795402,1.599847515,8.443827424,7.770644035,7.133101574,6.697729205,5.983681649,3.725705965,3.51585464,missing,missing,missing,missing
254,0.15,283,9.75,2.522957927,-133.4743675,-130.3907095,1.909554888,1.603534507,8.438604184,7.766649793,7.120811599,6.682981235,5.991362883,3.731543703,3.527837365,missing,missing,missing,missing
257,0.15,298,9.75,2.602114185,-133.4955106,-130.6438604,1.906175145,1.602612759,8.441676678,7.772487531,7.129721831,6.693120464,5.98798314,3.730007457,3.526915617,missing,missing,missing,missing
